Scenario,Instance_ID,LP_Relax_Obj (Q4),Proposed_Heuristic_Obj (Q5),Naive_Obj (Q4),LP_Relax_Time,Proposed_Heuristic_Time,Naive_Time,Proposed_Heuristic_Gap (Q5),Naive_Gap (Q4)
"('Large', 'Medium', 'Medium')",1,13176631595.917202,13176703590.621449,13275983577.978762,2.085444688796997,0.04199957847595215,0.012000322341918945,0.0005463817040223593,0.7540013647520055
"('Large', 'Medium', 'Medium')",2,13780026210.380405,13780097324.448822,13877040357.479176,2.843384027481079,0.056691884994506836,0.016561269760131836,0.0005160662783284525,0.7040200476954827
"('Large', 'Medium', 'Medium')",3,12733260600.952654,12733327810.20767,12829357221.131453,2.752356767654419,0.058507442474365234,0.01500082015991211,0.0005278243893893019,0.7546898095497165
"('Large', 'Medium', 'Medium')",4,13474266528.26586,13474335983.992924,13573000509.318941,2.82853627204895,0.06436991691589355,0.016964197158813477,0.0005154694462843735,0.7327595965684716
"('Large', 'Medium', 'Medium')",5,13216465313.067495,13216530669.296915,13315260694.630125,2.9431159496307373,0.05650806427001953,0.01600050926208496,0.0004945061169652425,0.7475174278628636
"('Large', 'Medium', 'Medium')",6,13343249216.824188,13343321587.075972,13443731645.425919,2.7618584632873535,0.054506778717041016,0.01600193977355957,0.0005423735299204412,0.7530581717310235
"('Large', 'Medium', 'Medium')",7,13417089321.744085,13417150603.634375,13514181714.182758,2.7130138874053955,0.05483245849609375,0.015463590621948242,0.0004567450422349921,0.7236472092447246
"('Large', 'Medium', 'Medium')",8,13282312810.482027,13282385962.374207,13379324703.143873,2.9610087871551514,0.061606407165527344,0.016452312469482422,0.00055074664498008,0.7303840381269074
"('Large', 'Medium', 'Medium')",9,13246792488.767632,13246869267.736427,13347311399.232458,2.845275402069092,0.05562424659729004,0.015000581741333008,0.0005796042238970652,0.7588169781481796
"('Large', 'Medium', 'Medium')",10,12966348199.598436,12966417614.420652,13063971849.977451,2.780247449874878,0.05606222152709961,0.015111446380615234,0.0005353459674805254,0.7529001140200626
"('Large', 'Medium', 'Medium')",11,13252201729.475365,13252275032.813536,13352823180.793959,2.74409818649292,0.05513882637023926,0.015455484390258789,0.0005531408264633112,0.7592810113567252
